ID Detailed Occupation,Detailed Occupation,ID Year,Year,ID Workforce Status,Workforce Status,Total Population,Total Population MOE Appx,Average Wage,Average Wage Appx MOE,yocpop RCA,Record Count,Slug Detailed Occupation,CIP2,ID CIP2
"433011","Bill & account collectors",2015,"2015","true","true",510,554.4457354838178,40016.51372549019,24722.939651812987,0.10313941526060887,28,"bill-account-collectors","Engineering","14"
"254010","Archivists, curators, & museum technicians",2015,"2015","true","true",635,618.6722351770472,40010.76692913386,36737.45389853646,0.5219883760326902,30,"archivists-curators-museum-technicians","Engineering","14"
"519198","Helpersproduction workers",2019,"2019","true","true",292,419.53263944749085,39895.77739726027,54942.98570212603,0.19471914150687572,11,"helpersproduction-workers","Engineering","14"
"472040","Carpet, floor, & tile installers & finishers",2017,"2017","true","true",581,591.7822631811292,39831.99139414802,32722.751466035512,0.1770196165209801,22,"carpet-floor-tile-installers-finishers","Engineering","14"
"434111","Interviewers, except eligibility & loan",2014,"2014","true","true",1140,828.944334714604,39807.902631578945,32002.14662309753,0.2965305169377753,59,"interviewers-except-eligibility-loan","Engineering","14"
"433011","Bill & account collectors",2017,"2017","true","true",607,604.8785505165106,39718.45634266886,20641.00413251277,0.13617000400200846,31,"bill-account-collectors","Engineering","14"
"395012","Hairdressers, hairstylists, & cosmetologists",2019,"2019","true","true",706,652.3430946979503,39712.109065155804,37956.22321383155,0.04202442472470565,23,"hairdressers-hairstylists-cosmetologists","Engineering","14"
"37201X","Janitors & building cleaners",2018,"2018","true","true",12244,2716.5526430459067,39695.729091800065,8197.6787928172,0.1736197350581065,525,"janitors-building-cleaners","Engineering","14"
"396010","Baggage porters, bellhops, & concierges",2019,"2019","true","true",560,580.9890503894419,39678.92857142857,16817.81328005239,0.20568748479374901,23,"baggage-porters-bellhops-concierges","Engineering","14"
"515112","Printing press operators",2020,"2020","true","true",974,766.2188115629798,39614.220739219716,23738.150120244365,0.20713204684848338,43,"printing-press-operators","Engineering","14"
"513020","Butchers & other meat, poultry, & fish processing workers",2020,"2020","true","true",564,583.0603169868489,39573.81560283688,52316.41048105584,0.07400606110885397,24,"butchers-other-meat-poultry-fish-processing-workers","Engineering","14"
"435081","Stock clerks & order fillers",2016,"2016","true","true",6551,1987.0941984790497,39566.36742482064,15292.604175042321,0.14942604015331576,300,"stock-clerks-order-fillers","Engineering","14"
"439061","Office clerks, general",2017,"2017","true","true",6766,2019.4378975001707,39565.57951522317,10837.024372235737,0.18766948480448556,330,"office-clerks-general","Engineering","14"
"432021","Telephone operators",2018,"2018","true","true",130,279.9279351013182,39553.484615384616,59373.771282206515,0.11964804476030959,6,"telephone-operators","Engineering","14"
"493021","Automotive body & related repairers",2017,"2017","true","true",611,606.8682794941665,39539.6022913257,20704.322765988174,0.17327266110058315,24,"automotive-body-related-repairers","Engineering","14"
"439061","Office clerks, general",2016,"2016","true","true",6443,1970.6472331938332,39524.94428061462,10500.331527849663,0.1876508565310058,308,"office-clerks-general","Engineering","14"
"517011","Cabinetmakers & bench carpenters",2017,"2017","true","true",119,267.823116280022,39522.56302521008,45316.81621569105,0.09761158810813235,9,"cabinetmakers-bench-carpenters","Engineering","14"
"396010","Baggage porters, bellhops, & concierges",2020,"2020","true","true",457,524.8463595558336,39498.71991247265,18315.697756913356,0.16526172439623524,22,"baggage-porters-bellhops-concierges","Engineering","14"
"533030","Driver/sales workers & truck drivers",2015,"2015","true","true",14893,2996.0048551182667,39458.98663801786,6836.718741096601,0.1797187206852524,603,"driversales-workers-truck-drivers","Engineering","14"
"519071","Jewelers & precious stone & metal workers",2016,"2016","true","true",282,412.28627549308646,39436.794326241135,19036.071514372787,0.3534805901591695,10,"jewelers-precious-stone-metal-workers","Engineering","14"
"435021","Couriers & messengers",2016,"2016","true","true",1621,988.4706217174687,39399.61566933992,21844.931060510753,0.2942910649279806,68,"couriers-messengers","Engineering","14"
"272042","Musicians and singers",2018,"2018","true","true",1484,945.7786193733788,39379.3679245283,39482.0922401093,0.488381569216121,69,"musicians-and-singers","Engineering","14"
"339030","Security guards & gaming surveillance officers",2018,"2018","true","true",7320,2100.4839269010845,39349.51844262295,12169.082746420847,0.25491742537224266,309,"security-guards-gaming-surveillance-officers","Engineering","14"
"434071","File clerks",2019,"2019","true","true",924,746.2930267324143,39259.15909090909,27175.432724050483,0.15095006854145424,53,"file-clerks","Engineering","14"
"516011","Laundry & drycleaning workers",2020,"2020","true","true",782,686.5576166746487,39252.712276214836,64921.016662099,0.16993898608070945,27,"laundry-drycleaning-workers","Engineering","14"
"395012","Hairdressers, hairstylists, & cosmetologists",2016,"2016","true","true",506,552.2671823897641,39232.84584980237,40875.77481961023,0.032046630362195495,23,"hairdressers-hairstylists-cosmetologists","Engineering","14"
"514030","Machine tool cutting setters, operators, & tenders, metal & plastic",2016,"2016","true","true",300,425.24079690410986,39158.54666666667,47266.77461736421,0.07170957231010709,20,"machine-tool-cutting-setters-operators-tenders-metal-plastic","Engineering","14"
"211093","Social & human service assistants",2014,"2014","true","true",657,629.2980652461339,39089.05783866058,23974.798978806313,0.16896906653543042,31,"social-human-service-assistants","Engineering","14"
"515112","Printing press operators",2018,"2018","true","true",960,760.6921610974338,39045.21145833333,24138.374392751328,0.1997160683786267,32,"printing-press-operators","Engineering","14"
"433011","Bill & account collectors",2018,"2018","true","true",653,627.3795721069521,39025.318529862176,19314.849845389475,0.14730617434352655,31,"bill-account-collectors","Engineering","14"
"472130","Insulation workers",2016,"2016","true","true",101,246.7375736995793,38964.70297029703,79199.76299361774,0.08686294468847847,6,"insulation-workers","Engineering","14"
"311121","Home health aides",2020,"2020","true","true",1507,953.0796070826482,38963.64631718646,38385.39935678528,0.10061324291467806,70,"home-health-aides","Engineering","14"
"419091","Doortodoor sales workers, news & street vendors, & related workers",2017,"2017","true","true",915,742.649544653994,38884.08196721312,56018.293012938215,0.34917642081420064,43,"doortodoor-sales-workers-news-street-vendors-related-workers","Engineering","14"
"472080","Drywall installers, ceiling tile installers, & tapers",2016,"2016","true","true",283,413.0166311543043,38836.35335689046,31447.242682200773,0.09099430636396506,8,"drywall-installers-ceiling-tile-installers-tapers","Engineering","14"
"537064","Packers & packagers, hand",2015,"2015","true","true",1370,908.7258769544184,38781.089781021896,26059.822083778923,0.11053194329012507,55,"packers-packagers-hand","Engineering","14"
"537064","Packers & packagers, hand",2020,"2020","true","true",2258,1166.6307505128673,38754.0115146147,30236.709470487567,0.14888055915868095,83,"packers-packagers-hand","Engineering","14"
"439051","Mail clerks & mail machine operators, except postal service",2017,"2017","true","true",425,506.13757460957254,38702.35294117647,27599.42116407824,0.18623579292905434,17,"mail-clerks-mail-machine-operators-except-postal-service","Engineering","14"
"372021","Pest control workers",2014,"2014","true","true",332,447.34570444817996,38693.97891566265,20181.307461339,0.1994312451807366,19,"pest-control-workers","Engineering","14"
"436013","Medical secretaries and administrative assistants",2018,"2018","true","true",306,429.4721582498272,38606.28431372549,39515.351580737115,0.1007341598641426,18,"medical-secretaries-and-administrative-assistants","Engineering","14"
"537081","Refuse & recyclable material collectors",2018,"2018","true","true",334,448.69113911378344,38599.31437125748,46845.85227020953,0.13140118121031508,19,"refuse-recyclable-material-collectors","Engineering","14"
"212099","Religious workers, all other",2017,"2017","true","true",1061,799.7068992280759,38543.99717247879,27521.548398865063,0.49826975244778166,58,"religious-workers-all-other","Engineering","14"
"533052","Bus drivers, transit and intercity",2020,"2020","true","true",1557,968.7613059417562,38464.79768786127,22018.686843263087,0.20633771626974473,71,"bus-drivers-transit-and-intercity","Engineering","14"
"435021","Couriers & messengers",2015,"2015","true","true",1576,974.6538337406911,38444.89720812183,22829.693020267783,0.27583136701490957,75,"couriers-messengers","Engineering","14"
"274021","Photographers",2020,"2020","true","true",1297,884.1843967769776,38440.6468774094,21653.93116830737,0.38351771234112086,67,"photographers","Engineering","14"
"399032","Recreation workers",2019,"2019","true","true",1089,810.1904038333525,38439.77318640955,31420.695930000405,0.17967560316164152,55,"recreation-workers","Engineering","14"
"254031","Library technicians",2014,"2014","true","true",452,521.9672512799376,38433.74778761062,39805.53581026906,0.3135939591083827,19,"library-technicians","Engineering","14"
"436013","Medical secretaries and administrative assistants",2019,"2019","true","true",256,392.8206992053711,38433.015625,48449.91810635154,0.08960274742314894,17,"medical-secretaries-and-administrative-assistants","Engineering","14"
"516011","Laundry & drycleaning workers",2018,"2018","true","true",865,722.073688373899,38411.284393063586,63086.742277683996,0.17507893221191145,27,"laundry-drycleaning-workers","Engineering","14"
"37201X","Janitors & building cleaners",2017,"2017","true","true",12046,2694.498419168984,38357.01934252034,8067.937504827331,0.17619781849419283,530,"janitors-building-cleaners","Engineering","14"
"473010","Helpers, construction trades",2014,"2014","true","true",239,379.553786408159,38284.6359832636,32879.35362394397,0.17477836954527365,11,"helpers-construction-trades","Engineering","14"
